S.No;Project Title;Student;Organization;Website URL
1091;A Modular Approach To The App Inventor Projects View;Vishwas Adiga;MIT App Inventor;http://appinventor.mit.edu
1092;Software Heritage Code Scanner Improvements for Production Environments;danseraf;Software Heritage;https://www.softwareheritage.org
1093;Adding the Ability To BCF Libraries to connect to BCF API's.;Singh Prabhat;BRL-CAD;https://opencax.github.io
1094;Redesign, develop and refactor APISIX landing page;ShivamSingh;The Apache Software Foundation;https://www.apache.org
1095;Integration of a PE/COFF loader designed with formal methods;Marvin Häuser;TianoCore;https://www.tianocore.org/
1096;Implement lightweight checkpointing;Apoorv Srivastava;Oppia Foundation;https://github.com/oppia/oppia
1097;WAL-G optimization backup storage by remote-copy APIs;Alexander Slesarev;PostgreSQL;https://www.postgresql.org
1098;EXT4 Filesystem driver;Pedro Falcato;TianoCore;https://www.tianocore.org/
1099;Machine Learning for Sea Floor Sampling and IOOS Demo Data Center migration to Jupyterbook;Lohith Munakala;Integrated Ocean Observing System (IOOS);https://ioos.noaa.gov/
1100;Integrating ScanCode Toolkit;Sarita Singh;FOSSology;https://www.fossology.org/
1101;Precision Landing Improvements using Depth Camera;rishabhsingh3003;ArduPilot;https://ardupilot.org
1102;Project Recommendation System;DEVANSH DIXIT;CircuitVerse.org;https://circuitverse.org/
1103;Integrating scikit-learn into Syft;Param Mirani;OpenMined;https://www.openmined.org/
1104;Changing the frontend of OrcaSound;isabella Macchivello;Orcasound;http://orcasound.net
1105;Implementation of a new Quad-double type for Boost.Multiprecision;Syed Fahad;Boost C++ Libraries;https://www.boost.org/
1106;Web app to generate RDF from DBpedia abstracts - Fernando Casabán Blasco;Fernando Casabán Blasco;DBpedia;https://www.dbpedia.org/
1107;Virtual FPGA Lab;Bala Dhinesh;Free and Open Source Silicon Foundation;https://www.fossi-foundation.org
1108;TOML Support in dhall-haskell;Julio Grillo;Haskell.org;http://haskell.org
1109;Casbin for .NET;Sagilio;Casbin;https://casbin.org/
1110;Normalizing Flows for Fast Detector Simulation;Aditya Ahuja;Machine Learning for Science (ML4SCI) Umbrella Organization;http://ml4sci.org
1111;Investigate the current state of syslog ng on MacOS;Yash Mathne;syslog-ng;https://www.syslog-ng.com/
1112;Custom Firmware Builder;Will Piper;ArduPilot;https://ardupilot.org
1113;A Stitch In Time (saves nine);Filip Adamik;The Honeynet Project;https://honeynet.org
1114;RooUnfold - Efficient deconvolution using state of the art algorithms;Archit_Agrawal;CERN-HSF;http://hepsoftwarefoundation.org/activities/gsoc.html
1115;Tackle Security Issues of OpenMRS;kfb19;OpenMRS;https://openmrs.org
1116;Upgrade Django-based Website;Ishaan Arora;Inkscape;https://inkscape.org
1117;Improving Functionalities of DHIS Connector Module;Piumal Rathnayake;OpenMRS;https://openmrs.org
1118;Decoding quantum states through Nuclear Magnetic Resonance;Anantha Rao;Machine Learning for Science (ML4SCI) Umbrella Organization;http://ml4sci.org
1119;Re-creating the Leech Heartbeat Network Model Tutorial using the Neuron Simulator in Python and NeuroML;Psyogi Soma;INCF;http://incf.org
1120;Security Validator for Jenkins Kubernetes Operator;Pulkit Sharma;Continuous Delivery Foundation;https://cd.foundation/projects/
1121;Expanding support for the solution of bilevel optimization problems in JuMP.;Mohammad Hesam Shaelaie;NumFOCUS;http://numfocus.org/
1122;Add support for checkpoint/restore read and write queue of UDP socket;Bui Quang Minh;CRIU;https://criu.org
1123;Beagleboard BSP: Add USB OTG Support;Husni Faiz;RTEMS Project;https://www.rtems.org/
1124;WP1 Selection;Mahak Porwal;Kiwix;https://www.kiwix.org
1125;Parallel Geometric Random Walks with Sparse Numerical Optimizations;Konstantinos Pallikaris;GeomScale;https://geomscale.github.io/
1126;Merge Crossplane/OAM-Runtime with KubeVela by specify version;Yeshuai Cui;CNCF;http://cncf.io
1127;Language Power Tools;Allan Juan;Rocket.Chat;https://github.com/RocketChat/Rocket.Chat
1128;MPD Server in VLC;George Vaindirlis;VideoLAN;https://www.videolan.org/
1129;Making VLC iOS app a one stop shop for all the media consumption and management;Pushpinder Pal Singh;VideoLAN;https://www.videolan.org/
1130;Creating a MIME Sniffing Library for Scrapy;Akshay_Sharma;Python Software Foundation;https://www.python.org/
1131;Explicit Allow-Listing for ICMP;Tomoki Sugiura;Cilium;https://cilium.io
1132;Ractor-supported libraries;Rohit Menon;Ruby;https://www.ruby-lang.org/
1133;tracker: Improve custom ontology support;Abanoub Ghadban;GNOME Foundation;https://gnome.org
1134;Python GUI Visualisation for MOLTO-3BP Engine;Mario Robert D'Ambrosio;AerospaceResearch.net;http://aerospaceresearch.net/
1135;Adding new activities to GCompris;Mariam Fahmy;KDE Community;https://www.kde.org
1136;New General Navigation Menu and UX improvements;Nitesh Sinha;OpenWISP;http://openwisp.org
1137;Update Kanidm project: MFA backup code and async-std library for openssl;victorcwai;openSUSE Project;https://www.opensuse.org/
1138;On the potential of graph-based models in High Energy Physics;Ali A. Hariri;Machine Learning for Science (ML4SCI) Umbrella Organization;http://ml4sci.org
1139;MediaPipe Cross-Platform Solution;Aniket Ray;MediaPipe;https://mediapipe.dev
1140;Upgrading the Ganga graphical user interface;Monalisha Ojha;CERN-HSF;http://hepsoftwarefoundation.org/activities/gsoc.html
1141;Modernize the underlying data struct of edwood;Cameron Connell;Plan 9 Foundation;http://p9f.org/
1142;Counting linear extensions;Vaibhav Thakkar;GeomScale;https://geomscale.github.io/
1143;casbin enhancement;zhixiang Chen;Casbin;https://casbin.org/
1144;LibreMesh Pirania UI;Angie Ortiz Giraldo;freifunk;https://freifunk.net
1145;Conversion of public neurophysiology datasets to NeuroData Without Borders format;Steph Prince;INCF;http://incf.org
1146;AsyncDiff;Aayush Sahu;Postman;https://www.postman.com/
1147;Thunar Evolved;SKefalidis;Xfce;https://xfce.org/
1148;Caya Renovation;Jaidyn Levesque;Haiku;http://www.haiku-os.org
1149;Alive for SIL;Justin Fargnoli;Swift;http://swift.org
1150;(Live) listener statistics for Icecast;Rohit Verma;Xiph.Org Foundation;https://xiph.org
1151;AsyncAPI Document Optimizer;Khuda Dad Nomani;Postman;https://www.postman.com/
1152;Fix Fundamental Issues in LLVM IR;Krishna Kariya;The LLVM Compiler Infrastructure;http://llvm.org
1153;Adding a return channel to Icecast server;Vishal Mishra;Xiph.Org Foundation;https://xiph.org
1154;Packaging Caddy;Peymaneh Nejad;Debian;https://www.debian.org
1155;Implement Interface for external data source import into Calc;Tushar Kumar Rai;LibreOffice;https://www.libreoffice.org/
1156;Support for CPU and Platform Profiles;Aswin C;Rizin;https://rizin.re
1157;GSoC 2021 Proposal: Add regexp-parser() (Xiaoyu Qiu);Xiaoyu Qiu;syslog-ng;https://www.syslog-ng.com/
1158;Automate Metrics Release and Process Improvement;Ritik Malik;CHAOSS Project;https://chaoss.community
1159;Scan8;Maanas Talwar;SCoRe Lab;http://www.scorelab.org/
1160;ViT (Vision Transformer);sgeisler;TensorFlow;https://www.tensorflow.org/
1161;Real-time subtitles for movies;Davide Pietrasanta;VideoLAN;https://www.videolan.org/
1162;Software agent for traffic and pedestrian traffic monitoring in outdoor environments using RGB cameras.;Amarthya Sasi Kiran;RoboComp;https://robocomp.org
1163;Alligator : Podcast Support;Swapnil Tripathi;KDE Community;https://www.kde.org
1164;First-Ever Tibetan Spell Checker;Mengan Wang;Project WikiLoop;https://meta.wikimedia.org/wiki/WikiLoop
1165;Adding New APIs from POSIX Standard 2021;Matthew Joyce;RTEMS Project;https://www.rtems.org/
1166;Developing IntervalLinearAlgebra.jl;Luca Ferranti;The Julia Language;https://julialang.org
1167;Porting ChromeOS Power Policy End-to-End Tests;Bisakh Mondal;Chromium;https://www.chromium.org/
1168;MusicBlocksv4 Menu Framework and ArtBoard Connections;Daksh Doshi;Sugar Labs;http://sugarlabs.org/
1169;Improving Python’s online interpreter and more interactive exercises;Angela Remolina;Python Software Foundation;https://www.python.org/
1170;GUI for Game Library Management;Aashwin Vaish;ScummVM;https://www.scummvm.org/
1171;Adaptation of Behavior Driven Development Ideas for Testing of Source Code and Validation Algorithms;Shashwat Jaiswal;Checkstyle;https://checkstyle.org
1172;Convert Virtual Systems Page to ReactJS;Riya Kalra;openSUSE Project;https://www.opensuse.org/
1173;NodeCloud - Digital Ocean Provider;Mohit Bhat;SCoRe Lab;http://www.scorelab.org/
1174;ANIMATION IMPROVEMENTS;Himanshu Garg;MIT App Inventor;http://appinventor.mit.edu
1175;Revive TensorMap;Asela Dasanayaka;SCoRe Lab;http://www.scorelab.org/
1176;Checker Creation Helper Script and Recommending Safe package versions;peb;Python Software Foundation;https://www.python.org/
1177;Astrometry - Gnuastro;Natáli Anzanello;openastronomy;http://www.OpenAstronomy.org
1178;Extending DRAKVUF by an I/O-emulation module in order to camouflage its sandbox nature;Jan Gruber;The Honeynet Project;https://honeynet.org
1179;ATARASHI - MINERVA;sayshreya;FOSSology;https://www.fossology.org/
1180;Adopting the Hindi-Bengali language pair (unreleased language pair).;Gourab Chakraborty;Apertium;http://wiki.apertium.org
1181;Add numerical differentiation support in Clad;grimmmyshini;CERN-HSF;http://hepsoftwarefoundation.org/activities/gsoc.html
1182;Boost.Python: asyncio event loop implementation using Boost.Asio;Pan Yue;Boost C++ Libraries;https://www.boost.org/
1183;Equadratures: Web Application based on Uncertainty Quantification;Simardeep Singh Sethi;NumFOCUS;http://numfocus.org/
1184;Beagle-Config;Shreyas Swanand Atre;BeagleBoard.org Foundation;https://beagleboard.org
1185;Alpine, macOS support;Jixin Chen;Center for Research in Open Source Software, UC Santa Cruz;http://cross.ucsc.edu
1186;Guided Filter in FFmpeg;Xuewei Meng;FFmpeg;https://ffmpeg.org/
1187;G-invariants of the Orlik-Solomon and Orlik-Terao algebras;Trevor Karn;SageMath;https://www.sagemath.org/
1188;3D samples using OpenGL and GLFW;Ricardo Antunes;OpenCV;https://opencv.org
1189;Proposal for CodeLabZ;Shadow;SCoRe Lab;http://www.scorelab.org/
1190;Improve LibreHealth Toolkit Cost Of care Flutter Application And Web-App;Mahavir Singh;LibreHealth;https://librehealth.io
1191;Distinct Terrain Features for Metal Renegades;Lorxu;The Terasology Foundation;https://terasology.org/
1192;CrawlerX - Develop Extensible, Distributed, Scalable Web Crawling System;Beshiniii;SCoRe Lab;http://www.scorelab.org/
1193;Adding Out-of-band Application Testing (OAST) Support to ZAP;ricekot;OWASP Foundation;https://owasp.org
1194;Monocular Depth Estimation from RGB signals;Vaibhaw Khemka;RoboComp;https://robocomp.org
1195;"Build GitHub workflow-optimizing action, using GitHub APIs; Add Rocket.Chat import tool";Priyansh Garg;Zulip;https://zulip.com
1196;Refactor frontend-markdown processor using an extensible CommonMark parser;Akshat;Zulip;https://zulip.com
1197;Evolving the LLDB GUI;Omar Emara;The LLVM Compiler Infrastructure;http://llvm.org
1198;Black Parrot on Open-Source Google-Skywater 130nm node;Lakshmi S;Free and Open Source Silicon Foundation;https://www.fossi-foundation.org
1199;Anonymizing Audiovisual Data;Yash Khasbage;Red Hen Lab;http://redhenlab.org
1200;Create procedural language extension for the Julia programming language;Konstantina Skovola;PostgreSQL;https://www.postgresql.org
1201;Generator for offline documentation;Abhishek Rawat;BRL-CAD;https://opencax.github.io
1202;Proposal for Casdoor and Casnode;Boqian Xie;Casbin;https://casbin.org/
1203;CodeLabz - FrontEnd Improvements;SOUGATA DAS;SCoRe Lab;http://www.scorelab.org/
1204;LFortran: Finish AST generation;Thirumalai Shaktivel;Fortran-lang;https://fortran-lang.org
